Superfamily,Genus,Species,Sex,SexDat,MuseumID,PhysicalAlignment,BodyMass,DimorphismIndex,SocialSystem,MatingSystem,Nocturnal,Diet,Gouging,Landmark notes,Body mass notes,Social/mating system notes,Diet notes
Ceboidea,Cebus,apella,M,M,USNM-361019,0,3.65,0.483797,Polygynandry,Polygynandry,0,Omnivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Tarsoidea,Cephalopachus,bancanus,F,F,USNM-488084,0,0.117,0.08985633,Solitary,Spatial polygyny,1,Omnivore,0,,reported Tarsius bancanus,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Cercocebus,albigena,F,F,MCZ-14725,0,6.02,0.3151259,Polygynandry,Polygynandry,0,Frugivore,0,,reported Lophocebus albigena,"Arlet, M.E., Molleman, F. and Chapman, C.A., 2008. Mating Tactics in Male Grey_Cheeked Mangabeys (Lophocebus albigena). Ethology, 114(9), pp.851-862.","Oates, J.F., Groves, C.P. & Ehardt, C. 2008. Lophocebus albigena. The IUCN Red List of Threatened Species 2008: e.T12309A3332270. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T12309A3332270.en."
Cercopithecoidea,Cercocebus,albigena,M,M,MCZ-22736,0,8.25,0.3151259,Polygynandry,Polygynandry,0,Frugivore,0,,reported Lophocebus albigena,"Arlet, M.E., Molleman, F. and Chapman, C.A., 2008. Mating Tactics in Male Grey_Cheeked Mangabeys (Lophocebus albigena). Ethology, 114(9), pp.851-862.","Oates, J.F., Groves, C.P. & Ehardt, C. 2008. Lophocebus albigena. The IUCN Red List of Threatened Species 2008: e.T12309A3332270. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T12309A3332270.en."
Cercopithecoidea,Cercopithecus,mitis,F,F,USNM-452531,0,4.36,0.5683586,Polygynandry,Harem polygyny,0,Frugivore,0,missing rhinion,"average subspecies (stuhlmanni, erythrarchus, unspecified",DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Cercopithecus,mitis,M,M,USNM-182386,0,7.697,0.5683586,Polygynandry,Harem polygyny,0,Frugivore,0,,"average subspecies (stuhlmanni, erythrarchus, unspecified",DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Cercopithecus,petaurista,F,F,USNM-481778,0,2.9,0.4168938,Polygyny,Harem polygyny,0,Omnivore,0,reflected prior to landmarking due to broken R condyle and gonion area,,"Kingdon, J., Happold, D., Butynski, T., Hoffmann, M., Happold, M. and Kalina, J., 2013. Mammals of Africa (Vol. 1). A&C Black. Pp. 381-383","Buzzard, P.J., 2006. Ecological partitioning of Cercopithecus campbelli, C. petaurista, and C. diana in the Ta¥ Forest. International Journal of Primatology, 27(2), pp.529-558."
Cercopithecoidea,Cercopithecus,petaurista,M,M,USNM-481779,0,4.4,0.4168938,Polygyny,Harem polygyny,0,Omnivore,0,reflected prior to landmarking due to broken R ramus,,"Kingdon, J., Happold, D., Butynski, T., Hoffmann, M., Happold, M. and Kalina, J., 2013. Mammals of Africa (Vol. 1). A&C Black. Pp. 381-383","Buzzard, P.J., 2006. Ecological partitioning of Cercopithecus campbelli, C. petaurista, and C. diana in the Ta¥ Forest. International Journal of Primatology, 27(2), pp.529-558."
Lemuroidea,Cheirogaleus,major,U,B,AMNH-M-100640,0,0.387,0.1905747,Solitary,Spatial polygyny,1,Omnivore,0,,weighted average of sexes,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Chiropotes,chiropotes,F,F,USNM-549519,0,2.58,0.1169213,Polygynandry,Polygynandry,0,Frugivore,0,,reported subspecies Chiropotes satanas chiropotes,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Chiropotes,chiropotes,M,M,USNM-518225,0,2.9,0.1169213,Polygynandry,Polygynandry,0,Frugivore,0,,reported subspecies Chiropotes satanas chiropotes,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Chlorocebus,sabaeus,F,F,USNM-381449,0,3.3,0.4737844,Polygynandry,Polygynandry,0,Omnivore,0,,reported Cercopithecus aethiops sabaeus,DeCasien et al 2017,"Cawthon Lang KA. 2006 January 3. Primate Factsheets: Vervet (Chlorocebus) Taxonomy, Morphology, & Ecology . <http://pin.primate.wisc.edu/factsheets/entry/vervet>. Accessed 2017 July 25."
Cercopithecoidea,Chlorocebus,sabaeus,M,M,USNM-381445,0,5.3,0.4737844,Polygynandry,Polygynandry,0,Omnivore,0,,reported Cercopithecus aethiops sabaeus,DeCasien et al 2017,"Cawthon Lang KA. 2006 January 3. Primate Factsheets: Vervet (Chlorocebus) Taxonomy, Morphology, & Ecology . <http://pin.primate.wisc.edu/factsheets/entry/vervet>. Accessed 2017 July 25."
Cercopithecoidea,Colobus,polykomos,F,F,KUPRI-1105,1,8.3,0.1762792,Polygynandry,Harem polygyny,0,Folivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Colobus,polykomos,M,M,KUPRI-1053,1,9.9,0.1762792,Polygynandry,Harem polygyny,0,Folivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Daubentonia,madagascarensis,M,B,DLC-6915m,1,2.62,0.05089161,Solitary,Spatial polygyny,1,Omnivore,1,"No canines, could not place floor of sella",,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Erythrocebus,patas,F,F,MCZ-47017,0,6.5,0.6458943,Polygynandry,Harem polygyny,0,Omnivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Erythrocebus,patas,M,M,MCZ-47016,0,12.4,0.6458943,Polygynandry,Harem polygyny,0,Omnivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Eulemur,fulvus,F,F,MCZ-16393,0,2.183,-0.03448618,Polygynandry,Polygynandry,1,Frug-Fol,0,,"average subspecies (albocollaris, rufus, sanfordi)",DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Eulemur,fulvus,M,M,MCZ-44895,0,2.109,-0.03448618,Polygynandry,Polygynandry,1,Frug-Fol,0,,"average subspecies (albocollaris, rufus, sanfordi)",DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Euoticus,elegantulus,F,F,MCZ-14658,0,0.261,0.09496181,Solitary,Spatial polygyny,1,Omnivore,1,reflected prior to landmarking due to broken R zygomatic and lateral orbit margin,,DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Euoticus,elegantulus,M,M,MCZ-14657,0,0.287,0.09496181,Solitary,Spatial polygyny,1,Omnivore,1,reflected prior to landmarking due to broken R zygomatic,,DeCasien et al 2017,DeCasien et al 2017
Galagoidea,Galago,senegalensis,F,F,USNM-465852,0,0.199,0.1316452,Solitary,Spatial polygyny,1,Omnivore,0,,ignored subspecies 'braccatus',DeCasien et al 2017,DeCasien et al 2017
Galagoidea,Galago,senegalensis,M,M,USNM-465853,0,0.227,0.1316452,Solitary,Spatial polygyny,1,Omnivore,0,,ignored subspecies 'braccatus',DeCasien et al 2017,DeCasien et al 2017
Hominoidea,Gorilla,gorilla,F,F,USNM-220060,0,71.5,0.8684512,Polygyny,Harem polygyny,0,Folivore,0,,reported Gorilla gorilla gorilla,DeCasien et al 2017,DeCasien et al 2017
Hominoidea,Gorilla,gorilla,M,M,USNM-176211,0,170.4,0.8684512,Polygyny,Harem polygyny,0,Folivore,0,,reported Gorilla gorilla gorilla,DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Hapalemur,griseus,F,F,MCZ-44911,0,0.787,0.09796347,Pair,Monogamy,0,Folivore,0,,reported subspecies Hapalemur griseus griseus,DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Hapalemur,griseus,M,M,MCZ-44913,0,0.868,0.09796347,Pair,Monogamy,0,Folivore,0,,reported subspecies Hapalemur griseus griseus,DeCasien et al 2017,DeCasien et al 2017
Hominoidea,Homo,sapiens,F,F,TC-815,0,54.43,0.1334395,NA,unknown,0,Omnivore,0,,average of 8 populations,,"Fischler, C., 1980. Food habits, social change and the nature/culture dilemma. Information (International Social Science Council), 19(6), pp.937-953."
Hominoidea,Homo,sapiens,M,M,TC-712,0,62.2,0.1334395,NA,unknown,0,Omnivore,0,,average of 8 populations,,"Fischler, C., 1980. Food habits, social change and the nature/culture dilemma. Information (International Social Science Council), 19(6), pp.937-953."
Hominoidea,Hoolock,hoolock,F,F,USNM-257988,0,6.88,-0.001454546,Pair,Monogamy,0,Frugivore,0,,reported Hylobates hoolock,DeCasien et al 2017,DeCasien et al 2017
Hominoidea,Hoolock,hoolock,M,M,USNM-257987,0,6.87,-0.001454546,Pair,Monogamy,0,Frugivore,0,reflected prior to landmarking due to major damage to R side; zygomatic point is missing due to broken zygomatic on both sides,reported Hylobates hoolock,DeCasien et al 2017,DeCasien et al 2017
Hominoidea,Hylobates,lar,F,F,USNM-83262,0,5.34,0.0997267,Pair,Monogamy,0,Frugivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Hominoidea,Hylobates,lar,M,M,USNM-104438,0,5.9,0.0997267,Pair,Monogamy,0,Frugivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Indri,indri,F,B,AMNH-M-100816,0,6.84,-0.1597707,Pair,Monogamy,0,Folivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Lagothrix,lagotricha,F,F,USNM-461931,0,7.02,0.03636764,Polygynandry,Polygynandry,0,Omnivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Lagothrix,lagotricha,M,M,USNM-545880,0,7.28,0.03636764,Polygynandry,Polygynandry,0,Omnivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Lemur,catta,F,F,USNM-395515,0,2.21,0,Polygynandry,Polygynandry,1,Frugivore,0,skull appears to have been sawed open- consider using male specimen to represent both sexes,,DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Lemur,catta,M,M,MCZ-16392,0,2.21,0,Polygynandry,Polygynandry,1,Frugivore,0,reflected prior to landmarking due to incomplete scanning near R lateral orbit margin,,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Leontopithecus,rosalia,F,F,USNM-337334,0,0.598,0.03612872,Pair,Monogamy,0,Omnivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Leontopithecus,rosalia,M,M,USNM-518588,0,0.62,0.03612872,Pair,Monogamy,0,Omnivore,0,reflected prior to landmarking due to broken R gonial area and zygomatic,,DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Lepilemur,mustelinus,F,F,AMNH-M-170558,0,0.777,0,Solitary,Spatial polygyny,1,Folivore,0,,unknown sex reported,DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Lepilemur,mustelinus,M,M,USNM-49688,0,0.777,0,Solitary,Spatial polygyny,1,Folivore,0,,unknown sex reported,DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Loris,lydekkerianus,F,F,USNM-256737,0,0.269,-0.01876228,Solitary,Spatial polygyny,1,Omnivore,0,,reported subspecies Loris tardigradus lydekkerianus,DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Loris,lydekkerianus,M,M,USNM-256739,0,0.264,-0.01876228,Solitary,Spatial polygyny,1,Omnivore,0,,reported subspecies Loris tardigradus lydekkerianus,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Macaca,fascicularis,F,F,USNM-114162,0,3.59,0.4008118,Polygynandry,Polygynandry,0,Frugivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Macaca,fascicularis,M,M,USNM-121511,0,5.36,0.4008118,Polygynandry,Polygynandry,0,Frugivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Macaca,nemestrina,F,F,USNM-114502,0,6.5,0.5441116,Polygynandry,Polygynandry,0,Frugivore,0,,reported Macaca nemestrina nemestrina,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Macaca,nemestrina,M,M,USNM-123144,0,11.2,0.5441116,Polygynandry,Polygynandry,0,Frugivore,0,,reported Macaca nemestrina nemestrina,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Mandrillus,sphinx,F,F,AMNH-M-89357,0,12.9,0.8959298,Polygynandry,Polygynandry,0,Frugivore,0,missing sella,,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Mandrillus,sphinx,M,M,USNM-598494,0,31.6,0.8959298,Polygynandry,Polygynandry,0,Frugivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Microcebus,murinus,F,F,AMNH-M-185621,1,0.087,0.05588046,Solitary,Spatial polygyny,1,Omnivore,0,,average seasons,DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Microcebus,murinus,M,M,AMNH-M-174537,0,0.092,0.05588046,Solitary,Spatial polygyny,1,Omnivore,0,,average seasons,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Miopithecus,ogouensis,F,F,USNM-598534,0,1.28,0.145182,Polygynandry,Polygynandry,0,Omnivore,0,"sella point may be off by a few mm due to bad segmentation, but it is close","based on location, this species listed as M. talapoin is actually M. ogouensis, weighted average of two studies",DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Miopithecus,ogouensis,M,M,USNM-598519,0,1.48,0.145182,Polygynandry,Polygynandry,0,Omnivore,0,,"based on location, this species listed as M. talapoin is actually M. ogouensis, weighted average of two studies",DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Mirza,zaza,M,B,DLC-2304m,1,0.316,-0.06986968,Solitary,Spatial polygyny,1,Omnivore,0,reflected prior to landmarking due to poor segmentation on R orbit margin,"coquereli, weighted average of sexes, average of seasons",DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Nasalis,larvatus,F,F,USNM-198277,0,9.82,0.7311138,Polygynandry,Harem polygyny,0,Folivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Nasalis,larvatus,M,M,USNM-142217,0,20.4,0.7311138,Polygynandry,Harem polygyny,0,Folivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Hominoidea,Nomascus,concolor,F,F,USNM-464992,0,7.62,0.02206449,Pair,Monogamy,0,Frugivore,0,,reported Hylobates concolor,DeCasien et al 2017,DeCasien et al 2017
Hominoidea,Nomascus,concolor,M,M,USNM-320786,0,7.79,0.02206449,Pair,Monogamy,0,Frugivore,0,,reported Hylobates concolor,DeCasien et al 2017,DeCasien et al 2017
Galagoidea,Nycticebus,coucang,F,F,USNM-141141,0,0.626,0.08127076,Solitary,Spatial polygyny,1,Omnivore,0,,reported subspecies Nycticebus coucang cougang,DeCasien et al 2017,DeCasien et al 2017
Galagoidea,Nycticebus,coucang,M,M,USNM-114460,0,0.679,0.08127076,Solitary,Spatial polygyny,1,Omnivore,0,,reported subspecies Nycticebus coucang cougang,DeCasien et al 2017,DeCasien et al 2017
Galagoidea,Otolemur,crassicaudatus,F,F,AMNH-M-216241,1,1.11,0.06959329,Solitary,Spatial polygyny,1,Omnivore,0,missing rhinion (broken),,DeCasien et al 2017,DeCasien et al 2017
Galagoidea,Otolemur,crassicaudatus,M,M,AMNH-M-216239,0,1.19,0.06959329,Solitary,Spatial polygyny,1,Omnivore,0,missing sella (bad segmentation),,DeCasien et al 2017,DeCasien et al 2017
Hominoidea,Pan,troglodytes,F,F,USNM-220327,0,45.8,0.2650479,Polygynandry,Polygynandry,0,Frugivore,0,,reported Pan troglodytes troglodytes,DeCasien et al 2017,DeCasien et al 2017
Hominoidea,Pan,troglodytes,M,M,USNM-220062,0,59.7,0.2650479,Polygynandry,Polygynandry,0,Frugivore,0,,reported Pan troglodytes troglodytes,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Papio,papio,F,F,USNM-381430,0,12.1,0.7296624,Polygynandry,Harem polygyny,0,Frugivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Papio,papio,M,M,USNM-378669,0,25.1,0.7296624,Polygynandry,Harem polygyny,0,Frugivore,0,,"no P. papio male data, so use P. anubis",DeCasien et al 2017,DeCasien et al 2017
Galagoidea,Perodicticus,potto,F,F,USNM-450054,0,0.836,-0.007202912,Solitary,Spatial polygyny,1,Omnivore,0,,reported subspecies Perodicticus potto potto,DeCasien et al 2017,DeCasien et al 2017
Galagoidea,Perodicticus,potto,M,M,USNM-465899,0,0.83,-0.007202912,Solitary,Spatial polygyny,1,Omnivore,0,,reported subspecies Perodicticus potto potto,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Pithecia,pithecia,F,F,MCZ-30719,0,1.58,0.2052631,Polygynandry,Polygynandry,0,Frugivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Pithecia,pithecia,M,M,USNM-374745,0,1.94,0.2052631,Polygynandry,Polygynandry,0,Frugivore,0,reflected prior to landmarking due to broken coronoid process,,DeCasien et al 2017,DeCasien et al 2017
Hominoidea,Pongo,pygmaeus,F,F,USNM-14169,0,35.8,0.7851507,Solitary,Spatial polygyny,0,Frugivore,0,,reported Pongo pygmaeus pygmaeus,DeCasien et al 2017,DeCasien et al 2017
Hominoidea,Pongo,pygmaeus,M,M,USNM-521078,0,78.5,0.7851507,Solitary,Spatial polygyny,0,Frugivore,0,,reported Pongo pygmaeus pygmaeus,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Presbytis,rubicunda,F,F,MCZ-35704,0,6.17,0.01926223,Polygyny,Harem polygyny,0,Omnivore,0,,,DeCasien et al 2017,"Nijman, V. & Meijaard, E. 2008. Presbytis rubicunda. The IUCN Red List of Threatened Species 2008: e.T18131A7667504. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T18131A7667504.en."
Cercopithecoidea,Presbytis,rubicunda,M,M,MCZ-35712,0,6.29,0.01926223,Polygyny,Harem polygyny,0,Omnivore,0,,,DeCasien et al 2017,"Nijman, V. & Meijaard, E. 2008. Presbytis rubicunda. The IUCN Red List of Threatened Species 2008: e.T18131A7667504. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T18131A7667504.en."
Cercopithecoidea,Procolobus,badius,F,F,MCZ-24793,0,8.21,0.0181055,Polygynandry,Polygynandry,0,Folivore,0,,reported Procolobus badius badius,DeCasien et al 2017,"Hayes, V., L. Freedman, C. Oxnard. 1996. Dental Sexual Dimorphism and Morphology in African Colobus Monkeys as Related to Diet. International Journal of Primatology, 17/5: 725-757. "
Cercopithecoidea,Procolobus,badius,M,M,MCZ-24775,0,8.36,0.0181055,Polygynandry,Polygynandry,0,Folivore,0,,reported Procolobus badius badius,DeCasien et al 2017,"Hayes, V., L. Freedman, C. Oxnard. 1996. Dental Sexual Dimorphism and Morphology in African Colobus Monkeys as Related to Diet. International Journal of Primatology, 17/5: 725-757. "
Lemuroidea,Propithecus,diadema,F,F,USNM-63347,0,6.26,-0.05247105,Polygynandry,Polygynandry,0,Folivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Propithecus,diadema,M,M,USNM-63348,0,5.94,-0.05247105,Polygynandry,Polygynandry,0,Folivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Pygathrix,nigriceps,F,F,USNM-356574,0,8.44,0.264913,Polygynandry,Harem polygyny,0,Folivore,0,missing zygomatic point,reported Pygathrix nemaeus (nigriceps is sometimes considered a subspecies),DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Pygathrix,nigriceps,M,M,USNM-269798,0,11,0.264913,Polygynandry,Harem polygyny,0,Folivore,0,,reported Pygathrix nemaeus (nigriceps is sometimes considered a subspecies),DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Rhinopithecus,roxellana,M,M,USNM-268887,0,17.9,0.4337956,Polygyny,Polygynandry,0,Omnivore,0,,,"Guo, S., Ji, W., Li, M., Chang, H. and Li, B., 2010. The mating system of the Sichuan snub_nosed monkey (Rhinopithecus roxellana). American Journal of Primatology, 72(1), pp.25-32.","Guo, S., Li, B. and Watanabe, K., 2007. Diet and activity budget of Rhinopithecus roxellana in the Qinling Mountains, China. Primates, 48(4), pp.268-276."
Ceboidea,Saguinus,fuscicollis,F,F,AMNH-M-74051,1,0.358,-0.04280254,Pair,Polyandry,0,Omnivore,0,missing rhinion due to broken skull,,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Saguinus,fuscicollis,M,M,AMNH-M-74042,0,0.343,-0.04280254,Pair,Polyandry,0,Omnivore,0,missing area that includes maxillary M2,,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Saimiri,sciureus,F,F,MCZ-27197,0,0.684,0.2184542,Polygynandry,Polygynandry,0,Omnivore,0,,weighted average of two studies,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Saimiri,sciureus,M,M,MCZ-30568,0,0.851,0.2184542,Polygynandry,Polygynandry,0,Omnivore,0,,weighted average of two studies,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Semnopithecus,schistaceus,F,F,USNM-21843,0,14.8,0.2602831,Polygynandry,Harem polygyny,0,Folivore,0,,reported Semnopithecus entellus schistacea,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Semnopithecus,schistaceus,M,M,USNM-21842,0,19.2,0.2602831,Polygynandry,Harem polygyny,0,Folivore,0,,reported Semnopithecus entellus schistacea,DeCasien et al 2017,DeCasien et al 2017
Hominoidea,Symphalangus,syndactylus,F,F,USNM-143580,0,10.7,0.1062947,Pair,Monogamy,0,Folivore,0,,reported Hylobates syndactylus,DeCasien et al 2017,DeCasien et al 2017
Hominoidea,Symphalangus,syndactylus,M,M,USNM-143577,0,11.9,0.1062947,Pair,Monogamy,0,Folivore,0,,reported Hylobates syndactylus,DeCasien et al 2017,DeCasien et al 2017
Tarsoidea,Tarsius,tarsier,F,F,USNM-200279,0,0.108,0.1461825,Solitary,Spatial polygyny,1,Omnivore,0,,reported Tarsius spectrum,DeCasien et al 2017,DeCasien et al 2017
Tarsoidea,Tarsius,tarsier,M,M,USNM-200283,0,0.125,0.1461825,Solitary,Spatial polygyny,1,Omnivore,0,,reported Tarsius spectrum,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Theropithecus,gelada,F,F,USNM-319992,0,11.7,0.4848501,Polygynandry,Harem polygyny,0,Frugivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Cercopithecoidea,Theropithecus,gelada,M,M,USNM-305107,0,19,0.4848501,Polygynandry,Harem polygyny,0,Frugivore,0,,,DeCasien et al 2017,DeCasien et al 2017
